59712 0.51
0.0 0.0 -1.000000002
0.51 0.0 -1.000000002
1.02 0.0 -1.000000002
1.53 0.0 -1.000000002
2.04 0.0 -1.000000002
2.55 0.0 -1.000000002
3.06 0.0 -1.000000002
3.5700000000000003 0.0 -1.000000002
4.08 0.0 -1.000000002
4.59 0.0 -1.000000002
5.1 0.0 -1.000000002
5.61 0.0 -1.000000002
6.12 0.0 -1.000000002
6.63 0.0 -1.000000002
7.140000000000001 0.0 -1.000000002
7.65 0.0 -1.000000002
8.16 0.0 -1.000000002
8.67 0.0 -1.000000002
9.18 0.0 -1.000000002
9.69 0.0 -1.000000002
10.2 0.0 -1.000000002
10.71 0.0 -1.000000002
11.22 0.0 -1.000000002
11.73 0.0 -1.000000002
12.24 0.0 -1.000000002
12.75 0.0 -1.000000002
13.26 0.0 -1.000000002
13.77 0.0 -1.000000002
14.280000000000001 0.0 -1.000000002
14.781424332211879 0.0 -1.004856276475128
27.03860280139609 0.0 -1.0049017867891756
27.54 0.0 -1.000000002
28.05 0.0 -1.000000002
28.560000000000002 0.0 -1.000000002
29.07 0.0 -1.000000002
29.580000000000002 0.0 -1.000000002
30.09 0.0 -1.000000002
30.6 0.0 -1.000000002
31.11 0.0 -1.000000002
31.62 0.0 -1.000000002
32.13 0.0 -1.000000002
32.64 0.0 -1.000000002
33.15 0.0 -1.000000002
33.660000000000004 0.0 -1.000000002
34.17 0.0 -1.000000002
34.68 0.0 -1.000000002
35.19 0.0 -1.000000002
35.7 0.0 -1.000000002
36.21 0.0 -1.000000002
36.72 0.0 -1.000000002
37.230000000000004 0.0 -1.000000002
37.74 0.0 -1.000000002
38.25 0.0 -1.000000002
38.76 0.0 -1.000000002
39.27 0.0 -1.000000002
39.78 0.0 -1.000000002
40.29 0.0 -1.000000002
40.8 0.0 -1.000000002
41.31 0.0 -1.000000002
41.82 0.0 -1.000000002
42.33 0.0 -1.000000002
0.0 0.51 -1.000000002
0.51 0.51 -1.000000002
1.02 0.51 -1.000000002
1.53 0.51 -1.000000002
2.04 0.51 -1.000000002
2.55 0.51 -1.000000002
3.06 0.51 -1.000000002
3.5700000000000003 0.51 -1.000000002
4.08 0.51 -1.000000002
4.59 0.51 -1.000000002
5.1 0.51 -1.000000002
5.61 0.51 -1.000000002
6.12 0.51 -1.000000002
6.63 0.51 -1.000000002
7.140000000000001 0.51 -1.000000002
7.65 0.51 -1.000000002
8.16 0.51 -1.000000002
8.67 0.51 -1.000000002
9.18 0.51 -1.000000002
9.69 0.51 -1.000000002
10.2 0.51 -1.000000002
10.71 0.51 -1.000000002
11.22 0.51 -1.000000002
11.73 0.51 -1.000000002
12.24 0.51 -1.000000002
12.75 0.51 -1.000000002
13.26 0.51 -1.000000002
13.77 0.51 -1.000000002
14.280000000000001 0.51 -1.000000002
14.781424332211879 0.51 -1.004856276475128
27.03860280139609 0.51 -1.0049017867891756
27.54 0.51 -1.000000002
28.05 0.51 -1.000000002
28.560000000000002 0.51 -1.000000002
29.07 0.51 -1.000000002
29.580000000000002 0.51 -1.000000002
30.09 0.51 -1.000000002
30.6 0.51 -1.000000002
31.11 0.51 -1.000000002
31.62 0.51 -1.000000002
32.13 0.51 -1.000000002
32.64 0.51 -1.000000002
33.15 0.51 -1.000000002
33.660000000000004 0.51 -1.000000002
34.17 0.51 -1.000000002
34.68 0.51 -1.000000002
35.19 0.51 -1.000000002
